Projektname,Stadt,Betreiber,beteiligte Akteure,Projekttyp,Gebäudenutzung,Fertigstellung,Anzahl der Wohneinheiten,Anzahl der Gebäude,Wärmequelle,min. Vorlauftemperatur im Winter in °C,max .Vorlauftemperatur im Winter in °C,min. Vorlauftemperatur im Sommer in °C,max. Vorlauftemperatur im Sommer in °C,Vorlauftemperatur ganzjährig in °C,Fläche der Erdwärmekollektoren in m^2,Anzahl der Sonden,Installationstiefe,Spitzenförderstrom [m^3/h],Länge des Wärmenetzes in km,Leitungart,Spezifikationen der Wärmequelle,Gebäudeeffizienz Standards,Wärmebedarf,Heizleistung [kW],Kühlleistung [kW],Jährliche Wärmemenge [MWh/a],Jährliche Kältemenge [MWh/a],Brauchwassertemperatur in °C,Heizwassertemperatur in °C,DT in °C,Primärenergiefaktor,zentrale oder dezentrale Wärmepumpen,Wärmepumpentechnologie,Einbindung von EE,Wärmegestehungskosten,Arbeitspreis [ct/kWh],Anschlusszwang,Abrechnungsgrenze für gelieferte Wärme,Internet-Link,Longitude,Latitude
Sohnius-Weide,Nümbrecht,Gemeindewerke Nümbrecht (GWN),-,Neubaugebiet,Wohnen,2012,20,-,"Erdwärmekollektor, Regenwasser-Zisternen, Vakuumkollektoren",-5.0,20.0,-5.0,20.0,-5 bis 20,-,-,1.75,-,0.45,Kunststoff / ungedämmt,"43 qm Vakuum-Solarthermie, Regen-Zisternen als Puffer, Wohnfläche der Häuser 110-290 qm",-,200000 kWh,-,-,-,-,-,-,-,-,dezentral,"Hocheffizienz-Wärmepumpen mit JAZ 4,23",-,-,-,Nein,-,"https://www.klima-log.de/projekt/kaltes-nahwaermenetz-in-nuembrecht , https://installation-dkz.de/wp-content/uploads/2017/09/26-28_web.pdf",7.5409481,50.9033978
Alanbrooke-Quartier,Paderborn,Wärmeservice Paderborn GmbH,Steinhäuser,Neubaugebiet ,"Wohnen, Gewerbe",2023,800,-,Erdwärmekollektoren,-,-,-,-,-,10000.0,-,-,-,-,-,Einbau unter Parkanlage,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/alanbrooke-quartier , https://www.paderborn-wohnen.de/alan-brooke",8.764869778177559,51.71895955
Gewerbegebiet Blurado,Radolfzell am Bodensee,tewag Gmbh,"GETEC Wärme & Effizienz GmbH, GeoAlto",Bestandsgebäude,Gewerbe,2022,-,-,Erdwärmekollektoren,-,-,-,-,-,25000.0,64.0,130.0,-,-,-,-,-,-,750.0,-,1200.0,-,-,-,-,-,dezentral,-,-,-,-,-,-,https://www.geoalto.de/de/case-studies/blurado,8.9702755,47.7372802
Grünes Leben am Schafhaus,Reichenbach/O.L.,NaturStromWärme GmbH,Steinhäuser,Neubaugebiet,Wohnen,2022,-,41,Erdwärmekollektoren,9.0,9.0,9.0,9.0,9,2000.0,-,-,-,1.0,Kunststoff / ungedämmt,-,-,-,-,optional,-,optional,-,-,-,-,dezentral,-,-,-,-,Ja,-,"https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/reichenbach-an-der-fils , https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/reichenbach-an-der-fils",14.8013577,51.1413085
Neuwerk Süd,Rendsburg,Stadtwerke Rendsburg GmbH,Viessmann,Neubaugebiet,Wohnen,2018,-,2,"Eisspeicher, Solar-Luft-Kollektoren, Gaskessel, Gasthermenkaskadenanlagen, Wärmepumpen",-,-,-,-,-,-,-,-,-,-,-,"36 Kollektoren, 560k Liter Eisspeicher",-,-,-,-,-,-,-,-,-,-,zentral,"2x 82,8 kW Kompressionswärmepumpen, 6x 58,9 kW Gaswärmepumpen",-,-,-,-,-,https://www.metternich-haustechnik.de/gewerbekunden/referenzen/quartierskonzept-neuwerk-sued-rendsburg,9.6516356,54.3000225
Schnellenberger Weg,Reppenstedt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://rat.gellersen.de/ris/reppenstedt/file/getfile/23452,10.3558419,53.2462533
Heidegarten,Rieseby,Schleswiger Stadtwerke GmbH,-,-,-,2019,50,-,-,-,-,-,-,-,-,-,-,-,1.15,-,-,EH 55,-,-,-,-,-,-,-,-,-,dezentral,-,-,-,-,-,-,"https://www.stadtwerke-sh.de/produkte/waerme/kalte-nahwaerme , https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/rieseby",9.8157764,54.5412967
Engwiesen 2 Rottenburg-Oberndorf,Rottenburg am Neckar,Stadtwerke Rottenburg,"GeoAlto, tewag Gmbh",Neubaugebiet,Wohnen,2023,130,-,Erdwärmekollektoren,-,-,-,-,-,14000.0,-,1.3,-,-,-,Horizontaleinbau,-,-,410.0,optional,610.0,optional,-,-,-,-,dezentral,-,-,-,-,-,-,"https://www.geoalto.de/de/case-studies/engwiesen2 , https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/rottenburg-oechsner",8.9336788,48.47696
Öchsner 2,Rottenburg am Neckar,Stadtwerke Rottenburg am Neckar GmbH,Steinhäuser,Neubaugebiet,Wohnen,2021,-,55,Erdwärmekollektoren,8.0,8.0,8.0,8.0,8,3700.0,-,-,-,1.0,Kunststoff / ungedämmt,22 Stränge im verteilerarmen Tichelann-System,-,-,250.0,optional,-,optional,-,-,-,0.42,dezentral,-,-,-,-,Ja,Kondensator der Wärmepumpe (gebäudeseitig),https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/oechsner-ii-rottenburg-am-neckar,8.9336788,48.47696
Am Bahnhof,Salzgitter,WEVG Saltzgitter GmbH & Co. KG,-,Neubaugebiet,Wohnen,2023,-,45,oberflächennahe Geothermie,6.0,12.0,6.0,12.0,12 / 6,-,-,-,-,1.15,Kunststoff / ungedämmt,-,-,-,120.0,optional,-,optional,-,-,-,0.45,dezentral,-,-,-,-,Nein,Kondensator der Wärmepumpe (gebäudeseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/salzigtter-thiede-am-bahnhof,10.3593147,52.1503721
