Projektname,Stadt,Betreiber,beteiligte Akteure,Projekttyp,Gebäudenutzung,Fertigstellung,Anzahl der Wohneinheiten,Anzahl der Gebäude,Wärmequelle,min. Vorlauftemperatur im Winter in °C,max .Vorlauftemperatur im Winter in °C,min. Vorlauftemperatur im Sommer in °C,max. Vorlauftemperatur im Sommer in °C,Vorlauftemperatur ganzjährig in °C,Fläche der Erdwärmekollektoren in m^2,Anzahl der Sonden,Installationstiefe,Spitzenförderstrom [m^3/h],Länge des Wärmenetzes in km,Leitungart,Spezifikationen der Wärmequelle,Gebäudeeffizienz Standards,Wärmebedarf,Heizleistung [kW],Kühlleistung [kW],Jährliche Wärmemenge [MWh/a],Jährliche Kältemenge [MWh/a],Brauchwassertemperatur in °C,Heizwassertemperatur in °C,DT in °C,Primärenergiefaktor,zentrale oder dezentrale Wärmepumpen,Wärmepumpentechnologie,Einbindung von EE,Wärmegestehungskosten,Arbeitspreis [ct/kWh],Anschlusszwang,Abrechnungsgrenze für gelieferte Wärme,Internet-Link,Longitude,Latitude
Arealnetz Lott,Achern,EnBW Energie Baden-Württemberg AG,-,Neubaugebiet,Wohnen,2022,-,4,"Oberirdische Gewässer, Umgebungsluft",2.0,23.0,2.0,23.0,2 bis 23,-,-,-,-,0.15,Kunststoff / gedämmt,-,-,-,50.0,optional,-,optional,-,-,-,-,zentral,-,-,-,-,Nein,Kondensator der Wärmepumpe (gebäudeseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/achern-arealnetz-lott,8.0735581,48.6300161
Dühlholzkämpe-Süd,Auhagen,LeineNetz GmbH,Steinhäuser,Neubaugebiet,Wohnen,2021,-,25,Erdwärmekollektoren,-,-,-,-,-,1560.0,-,-,-,-,-,"Horizontaleinbau, hälfte der Kollektorfläche unter Regenrückhaltebecken",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/duehlholzkaempe-sued-auhagen,9.297536437225153,52.39520485
-,Aurich,-,-,-,-,2010,-,-,Abwärme (Molkerei),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"https://land-der-ideen.de/projekt/kalte-fernwaerme-aurich-2822 , https://www.heizungsjournal.de/print/molkereiabwasser-als-quelle-kalter-fernwaerme_16360 , https://www.sciencedirect.com/science/article/pii/S1364032118308608",7.391528704156271,53.51228535
Ringeisenstraße,Bad Grönenbach,Lechwerke AG,-,-,-,-,30,-,Erdwärmesonden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://www.lew.de/ueber-lew/presse/waermekonzept-bad-groenenbach,10.2215159,47.8777154
Am Holzberg,Bad Nauheim,Stadtwerke Bad Nauheim GmbH,Steinhäuser,Neubaugebiet,Wohnen,2022,-,-,Erdwärmekollektoren,-,-,-,-,-,2500.0,-,-,-,-,-,Horizontaleinbau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/am-holzberg,8.7473608,50.3681107
Bad Nauheim Süd,Bad Nauheim,Stadtwerke Bad Nauheim GmbH,Steinhäuser,Neubaugebiet,Wohnen,2021,400,120,"Erdwärmekollektoren, Eisspeicher",-2.0,-2.0,16.0,16.0,"W: -2, S: 16",22400.0,-,-,-,6.0,Kunststoff / ungedämmt,zwei-lagige Erdwärmekollektoren,-,-,1400.0,optional,3000.0,optional,-,-,-,-,-,-,-,-,-,Nein,-," https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/bad-nauheim-sued , https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/bad-nauheim-sued",8.7473608,50.3681107
Lagarde Campus West,Bamberg,STWB Stadtwerke Bamberg GmbH,Steinhäuser,Neubaugebiet,"Wohnen,  Gewerbe",2023,500,-,"Erdwärmesonden, Erdwärmekollektoren, Wärmeübertrager im kommunalen Abwasserkanal, gewerblich Abwärme",6.0,6.0,6.0,6.0,6,20000.0,-,-,-,5.5,Kunststoff / ungedämmt,11000 m^2 unter Gebäuden in Beton eingegeben und 9000 m^2 in Freiflächen ( Grünflächen in Innenhöfen),-,-,3200.0,optional,-,optional,-,-,-,-,zentral,-,Dach PV,-,-,ja,Kondensator der Wärmepumpe (gebäudeseitig),https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/lagarde-campus-bamberg-west,10.8868478,49.8916044
Lagarde-Campus-Ost,Bamberg,STWB Stadtwerke Bamberg GmbH,Steinhäuser,Neubaugebiet,"Wohnen, Gewerbe",2025,-,-,"Erdwärmekollektoren, Sonden, BHKWs, Abwasserrückwärmegewinnung",-,-,-,-,-,12000.0,-,-,-,-,-,12.000 m² Kollektorfläche unter Gebäuden und in der Freifläche,-,-,-,-,-,-,-,-,-,-,-,-,Dach-PV,-,-,-,-,https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/lagarde-campus-ost,10.8868478,49.8916044
Ressourcenschutzsiedlung Kaster,Bedburg,E.ON Energy Solutions GmbH,-,Neubaugebiet,Wohnen,2022,-,110,"Erdwärmekollektoren, Wärmeübertrager im kommunalen Abwasserkanal, Umgebungsluft",45.0,50.0,12.0,15.0,"W: 45 bis 50, S: 12 bis 15",-,-,-,-,1.88,Kunststoff / ungedämmt,-,-,-,425.0,optional,-,optional,-,-,-,0.49,-,-,Dach PV,-,-,Nein,-,https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/bedburg-ressourcenschutzsiedlung-kaster,6.5767648,50.9972161
Urban Tech Rep./Schumacher-Q.,Berlin-Tegel,Grenn Urban Energy GmbH,-,Neubaugebiet / Bestandsgebäude,"Wohnen,  Gewerbe",2026,-,-,"gewerbliche Abwärme, BHKW",40.0,40.0,20.0,20.0,"W:40, S: 20",-,-,-,-,-,-,Absicht ist einen Marktplatz unter allen Netznutzern zu erzeugen für Abwärme,-,-,-,-,-,-,-,-,-,-,-,-,"Dach - PV, Elektrische Autos",-,-,-,-,https://schumacher-quartier.de/,13.2896968,52.5881913
Hochvogelstraße,Biberach,e.wa riss GmbH & Co. KG,-,-,-,2016,-,-,Erdwärmesonden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"https://www.sciencedirect.com/science/article/pii/S1364032118308608 , https://www.ewa-riss.de/waermeversorgung-in-biberach",9.7931144,48.101927
Bodenmais,Bodenmais,-,Ratiotherm,Bestandsgebäude,"Wohnen,  Gewerbe",2017,-,19,"Holzheizung, Solarthermie",-,-,-,-,-,-,-,-,-,0.95,Kunststoff / gedämmt,"400kW Holzheizung, 110m^2 Solartherie, Pufferspeicher 25.00l, ""kleine Wärmepumpe für jeden der 19 Haushalte",-,-,400.0,-,-,-,-,-,-,-,dezentral,-,Solarthermie,-,-,Nein,Kondensator der Wärmepumpe (gebäudeseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/bodenmais,13.0996367,49.0668258
Dammbrück,Böklund,Stadtwerke SH GmbH & Co. KG,Steinhäuser,Neubaugebiet,Wohnen,2023,-,80,Erdwärmekollektoren,-,-,-,-,-,4000.0,-,-,-,-,-,"Horizontaleinbau, unter Regenrückhaltebecken",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/dammbrueck , https://www.stadtwerke-sh.de/schleswig/produkte/waerme/kalte-nahwaerme/projekt-in-boeklund",9.5835687,54.5999705
Am Vohbach,Burgheim (Bayern),-,-,Neubaugebiet,Wohnen,2018,-,38,Erdwärmesonden,13.0,13.0,13.0,13.0,13,-,60.0,60.0,-,-,-,-,"KfW 40, KfW 40+",-,-,-,-,-,-,-,-,-,dezentral,-,-,-,-,Nein,-,https://www.donaukurier.de/archiv/ein-kaltes-netz-fuer-ein-warmes-burgheim-3315405,11.0165677,48.7003635
Westlich der Bahn,Damme (Dümmer),Energiegenossenschaft,-,Neubaugebiet,Wohnen,2022,-,75,Erdwärmesonden,-,-,-,-,-,-,-,-,-,1.5,Kunststoff / ungedämmt,-,-,-,171.0,optional,-,optional,-,-,-,-,dezentral,-,-,-,-,Nein,Verdampfer der Wärmepumpe (netzseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/damme-westlich-der-bahn,8.3084887,52.5288957
Kastanienallee am Teich,Darmstadt,Projekt Kastanienalle am Teich GmbH & Co. KG,"GeoAlto, tewag Gmbh",Neubaugebiet,Wohnen,2023,-,47,Oberirdische Gewässer,-,-,-,-,-,-,-,5.3,-,-,-,Wärmequelle ist der See in der Mitte des Baugebietssowie Nutzung des Wärmenetzes als Kollektor,-,-,160.0,30,260.0,18,-,-,-,-,dezentral,-,Dach PV,-,-,-,-,https://www.geoalto.de/de/case-studies/kastanienallee-am-teich,8.6736295,49.8851869
Ludwigshöhviertel,Darmstadt,tewag Gmbh,Entega AG,Neubaugebiet,"Wohnen,  Gewerbe",2026,1400,-,Erdwärmesonden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,280.0,-,500.0,-,-,-,-,-,zentral,-,-,-,-,-,-,https://www.geoalto.de/de/case-studies/ludwigshoehviertel,8.6736295,49.8851869
Alte Gärtnerei,Darmstadt-Bessungen,-,-,-,-,-,-,26,Erdwärmesonden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://www.waermepumpe.de/uploads/tx_bcpageflip/1030_Giel.pdf,8.6515408,49.8593692
"Ortskern ""Innerer Markt""",Dollnstein,Kommunalunternehmen Dollnstein,Ratiotherm,Bestandsgebäude,"Wohnen,  Gewerbe",2014,-,35,"Solarthermie, Blockheizkraftwerk (KWK), Kessel (z. B. Erdgas/Biogas), Grundwasser / Brunnen",-,-,-,-,-,-,-,-,-,1.8,Stahlrohr / gedämmt,-,-,-,980.0,-,-,-,-,-,-,-,dezentral,-,-,-,-,Nein,Kondensator der Wärmepumpe (gebäudeseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/dollnstein,11.0739673,48.8687764
Barkenberg,Dorsten-Wulfen,OET Kälte & Wärme GmbH,-,Bestandsgebäude,-,1981,-,40,Grundwasser/Brunnen,-,-,-,-,12 bis 6,-,-,-,-,3.0,Kunststoff / ungedämmt,-,-,-,300.0,-,-,-,-,-,-,-,-,-,-,-,-,Nein,-,https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/dorsten-wulfen-barkenberg,7.0219663,51.7243135
Projekt Noorblick,Eckernförde,Schleswiger Stadtwerke GmbH,Steinhäuser,-,-,2020,91,10,Erdkollektoren,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/noorblick-eckernfoerde , https://www.energie-experten.org/projekte/eckernfoerde-waermepumpen-heizen-quartier-noorblick",9.8374947,54.4716456
Solarsiedlung am Ohrberg,Emmerthal,Energieservice Westfalen Weser,-,Neubaugebiet,Wohnen,2020,-,65,"Abwärme (Industrie), Kessel (z. B. Erdgas/Biogas)",8.0,12.0,8.0,12.0,12 bis 8 ,-,-,-,-,1.0,Kunststoff / ungedämmt,-,-,-,370.0,-,-,-,-,-,-,-,dezentral,-,PV - Anlagen,-,-,Ja,-,https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/emmerthal-solarsiedlung-am-ohrberg,9.3722449,52.0419484
Am Himmelchen,Engelskirchen,AggerEnergie GmbH,-,-,-,2020,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"https://www.oberberg-aktuell.de/engelskirchen/das-himmelchen-ist-fertig-a-21926 , https://www.pareto-koeln.de/sites/default/files/infoblatt_kalte_nahwaerme.pdf",7.4084206,50.9872964
Grüne Höfe,Esslingen,-,-,-,-,2023,-,-,Erdwärmesonden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://www.waermepumpe.de/uploads/tx_bcpageflip/1030_Giel.pdf ,9.3071685,48.7427584
Fischerbach,Fischerbach,Bürgerenergie Fischerbach,-,Neubaugebiet,Wohnen,2013,-,24,"Erdwärmesonden, Umgebungslust, Eisspeicher",-5.0,20.0,-5.0,20.0,-5 bis 20,-,-,-,-,1.8,Kunststoff / ungedämmt,-,-,-,-,-,-,-,-,-,-,-,dezentral,-,-,-,-,Ja,-,https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/fischerbach-sonnematte,8.111432,48.287808
Seniorenpark Eden,Flehingen,EnBW Energie Baden-Württemberg AG,-,Neubaugebiet,Wohnen,2020,-,52,"Erdwärmesonden, Blockheizkraftwerk (KWK)
Kessel (z. B. Erdgas/Biogas)",0.0,45.0,15.0,20.0,"W: <45, S: 15 - 20",-,-,-,-,1.2,Kunststoff / gedämmt,-,-,-,380.0,optional,-,optional,-,-,-,-,dezentral,-,-,-,-,Nein,Kondensator der Wärmepumpe (gebäudeseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/flehingen-seniorenwohnpark-eden,8.785258689263074,49.08235205
Afrastraße,Friedberg (Bayern),Lechwerke AG,Stadtwerke Friedberg,Neubaugebiet,Wohnen,2019,ca. 250,20,Grundwasserbrunnen,8.5,10.5,8.5,10.5,10.5 bis 8.5,-,-,5.3,29l/s,0.65,Kunststoff / ungedämmt,"drei Entnahme-, zwei Schluckbrunnnen",-,-,850.0,-,-,-,-,-,-,-,dezentral,-,-,-,-,Nein,Verdampfer der Wärmepumpe (netzseitig),"https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/friedberg-afrastrasse , https://www.lew.de/ueber-lew/presse/kalte-nahwaerme-friedberg",10.953754,48.404353
Im Steinert,Gau-Algesheim,-,-,-,-,-,-,-,Erdwärmesonden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"https://www.npro.energy/main/de/5gdhc-networks , https://www.tsb-energie.de/fileadmin/Redakteure/Veranstaltungen/Energiewende_und_Klimaschutz/2019/Referentenbeitraege/Prof._Dr._Gerhard_Roller.pdf",8.0130518,49.9580426
Wohnen am Stadtteilpark Hassel,Gelsenkirchen-Hassel,Grüne Quartiere GmbH,Uniper GmbH,Neubaugebiet,Wohnen,2023,-,60,Erdwärmesonden,0.0,19.0,0.0,19.0,0 bis 19,-,-,-,-,1.5,Kunststoff / ungedämmt,-,-,-,550.0,optional,-,optional,-,-,-,0.33,dezentral,-,-,-,-,Ja,Kondensator der Wärmepumpe (gebäudeseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/gelsenkirchen-hassel,7.0665379,51.610861
Geltinger Bucht,Gelting,Schleswiger Stadtwerke GmbH,"TEG NORD, stn GmbH,Steinhäuser GmbH  & Co. KG, Waterkotte",Neubaugebiet,Wohnen,2020,80,-,Erdwärmekollektoren,0.0,0.0,20.0,20.0,"W: 0, S: 20 ",2700.0,-,-,-,10.0,Kunststoff / ungedämmt,"11 Schächte, Einbau unter Fußballplatz, 42 kW Luft/ Wasser WP zusätzlich für 5°C Vorlauf",-,-,335.0,-,1050.0,-,-,-,-,-,dezentral,-,-,-,-,-,-,"https://www.energie-experten.org/projekte/gelting-erdkollektor-und-luftwaerme-versorgen-baugebiet-mit-kalter-nahwaerme , https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/geltinger-bucht-gelting",9.8969663,54.7468969
Westlich der Alzeyer Straße,Gensingen,EDG Rheinhessen-Nahe mbH,-,Neubaugebiet,Wohnen,2022,-,80,Erdwärmesonden,14.0,14.0,14.0,14.0,14,-,-,-,-,0.022,Kunststoff / ungedämmt,-,-,-,570.0,optional,-,optional,-,-,-,-,dezentral,-,-,-,-,Ja,-,https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/gensingen-alyzer-strasse,7.9258303,49.8962901
puls G,Geretsried,EREA-Projekt GmbH & Co. KG,Steinhäuser,Neubaugebiet ,"Wohnen, Gewerbe",2019,66,-,"Erdwärmekollektoren, BHKW",-,-,-,-,-,-,-,8.0,-,-,-,unter einer zweigeschössigen garage ,-,-,-,-,-,-,-,-,-,-,-,-,Dach-PV,-,-,-,-,https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/pulsg-geretsried,11.479351,47.8646925
Alte Ziegelei,Gutach-Bleibach,Bürgerenergie Bühl,Steinhäuser,Neubaugebiet,Wohnen,2018,-,36,Eisspeicher,-5.0,20.0,-5.0,20.0,-5 bis  20,-,-,-,-,2.8,Kunststoff / ungedämmt,550 m^3 Fassungsvermögen,-,-,-,optional,-,optional,-,-,-,-,dezentral,-,Dach-PV,-,-,Ja,-,https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/gutach-bleibach,8.0083804,48.1224647
Osterfeld 2/3,Haßfurt,Städtische Werke Haßfurt,-,Neubaugebiet,Wohnen,2016,-,80,"Solarthermie, Blockheizkraftwerk (KWK), Kessel (z. B. Erdgas/Biogas)",20.0,50.0,20.0,50.0,20 bis 50,-,-,-,-,4.6,Kunststoff / gedämmt,-,-,-,825.0,-,-,-,-,-,-,0.4,zentral,-,-,-,-,Nein,Kondensator der Wärmepumpe (gebäudeseitig,https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/hassfurth-osterfeld,10.5065562,50.0318698
Sattlerweg,Herford,-,-,-,-,2000,-,-,Abwärme,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://www.sciencedirect.com/science/article/pii/S1364032118308608,8.6711118,52.1152245
Obstanger,Herford,-,-,-,-,2000,-,-,"Umgebungsluft, Erdwärmesonden",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://www.sciencedirect.com/science/article/pii/S1364032118308608,8.6711118,52.1152245
Shamrockpark,Herne,Shamrock Energie GmbH,-,Neubaugebiet / Bestandsgebäude,Wohnen,2023,-,24,"Blockheizkraftwerk (KWK), Abwärme (Industrie), Abwärme (Rechenzentrum)",12.0,22.0,12.0,22.0,22 / 12,-,-,-,-,2.0,Stahlrohr / gedämmt,-,-,-,3000.0,optional,-,optional,-,-,-,0.4,zentral,-,-,-,-,Ja,Kondensator der Wärmepumpe (gebäudeseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/herne-shamrock-park,7.219985,51.5380394
Erkingshof,Hilter am Teutoburger Wald,Teutoburger Energie Netzwerk eG,-,Neubaugebiet,Wohnen,2022,-,44,Erdwärmesonden,6.0,12.0,6.0,12.0,10 / 6,-,-,-,-,1.0,Kunststoff / ungedämmt,-,-,-,-,optional,-,optional,-,-,-,0.46,dezentral,-,-,-,-,Ja,Kondensator der Wärmepumpe (gebäudeseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/hilter-erkingshof,8.1465329,52.1380691
Unterfeld,Höchstädt an der Donau,Lechwerke AG,-,Neubaugebiet,Wohnen,2022,-,50,Grundwasserbrunnen,10.0,10.0,10.0,10.0,10,-,-,10.0,12 l/s,3.0,Kunststoff / ungedämmt,2 Entnahme- / und 2 Schluckbrunnnen,-,-,300.0,-,-,-,-,-,-,-,dezentral,-,Dach-PV,-,-,-,-,https://www.vg-hoechstaedt.de/wp-content/uploads/bsk-pdf-manager/2022/03/Pressemitteilung-Kalte-Nahw%C3%A4rme-H%C3%B6chst%C3%A4dt.pdf,10.5670984,48.6114313
Bregning-West,Husby,Schleswiger Stadtwerke GmbH,Steinhäuser,-,-,2019,-,-,Erdwärmekollektoren,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"https://www.stadtwerke-sh.de/produkte/waerme/kalte-nahwaerme , https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/husby",9.5785877,54.7659613
Schief-Scheten-Redder,Hüsby,Schleswiger Stadtwerke GmbH,-,Neubaugebiet,Wohnen,-,-,-,Erdwärmekollektoren,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://www.stadtwerke-sh.de/schleswig/produkte/waerme/kalte-nahwaerme/projekt-in-huesby,9.4852389,54.4972806
Steinhäldenweg 2,Ilsfeld,Gemeinde Ilsfeld,-,Neubaugebiet,Wohnen,2016,-,35,Fernwärme-Rücklauf,13.0,20.0,13.0,20.0,20 - 13,-,-,-,-,1.2,Kunststoff / ungedämmt,-,-,-,250.0,-,-,-,-,-,-,0.1,dezentral,-,-,-,-,Nein,Verdampfer der Wärmepumpe (netzseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/ilsfeld-steinhaeldenweg,9.2458327,49.0553992
Park De Roock,Ingelheim am Rhein,-,-,-,-,-,-,15,Erdwärmesonden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://www.waermepumpe.de/uploads/tx_bcpageflip/1030_Giel.pdf ,8.0547274,49.9752749
Brainergy Park,Jülich,Brainergy Park energie GmbH,-,Neubaugebiet,Gewerbe,2023,-,86,"Umgebunugsluft, Abwärme(Industrie), Abwärme(Rechenzentrum), Eisspeicher",8.0,12.0,8.0,12.0,12 / 8,-,-,-,-,3.7,Stahlrohr / gedämmt,-,-,-,5900.0,optional,-,optional,-,-,-,-,zentral,-,-,-,-,-,Kondensator der Wärmepumpe (gebäudeseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/juelich-brainergy-park,6.3611015,50.9220931
Forschungszentrum Jülich,Jülich,Forschungszentrum Jülich GmbH,-,Neubaugebiet / Bestandsgebäude,Gewerbe,2022,-,8,"Blockheizkraftwerk (KWK), Abwärme (Rechenzentrum)",20.0,40.0,20.0,40.0,20 bis 40,-,-,-,-,0.6,Stahlrohr / gedämmt,-,-,-,2000.0,-,-,-,-,-,-,-,zentral,-,-,-,-,Nein,Kondensator der Wärmepumpe (gebäudeseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/juelich-forschungszentrum,6.3611015,50.9220931
Vinger Weg ,Kerpen (NRW),Stadtwerken Kerpen/E.ON,-,Neubaugebiet,Wohnen,2021,-,78,"Umgebungsluft, Blockheizkraftwerk (KWK), Kessel (z.B. Erdgas/Biogas)",35.0,40.0,15.0,20.0,"W: 40 - 35, S: 20 - 15 °C",-,-,-,-,1.2,Kunststoff / gedämmt,-,-,-,1200.0,optional,-,optional,-,-,-,0.44,zentral,-,-,-,-,Nein,Kondensator der Wärmepumpe (gebäudeseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/kerpen-vinger-weg,6.694734,50.8696345
Bgm.-Bitterolf-Straße,Königsmoos,Bürger-Energie-Gen. ND-SOB-AIC-EI,-,Neubaugebiet,Wohnen,2022,-,40,Erdwärmesonden,2.0,8.0,8.0,15.0,"W: 8 - 2, S: 15 - 8 ",-,-,-,-,1.6,Kunststoff / gedämmt,-,-,-,272.0,optional,-,optional,-,-,-,0.3,zentral,-,-,-,-,Nein,Kondensator der Wärmepumpe (gebäudeseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/koenigsmoos-bgm-bitterolf-strasse,11.2161655,48.666702
Kirchfeld,Königsmoos,Bürger-Energie-Gen. ND-SOB-AIC-EI,-,Neubaugebiet,Wohnen,2023,-,32,Erdwärmesonden,16.0,16.0,16.0,16.0,16,-,-,-,-,1.3,Kunststoff / ungedämmt,-,-,-,270.0,optional,-,optional,-,-,-,-,dezentral,-,-,-,-,Nein,Kondensator der Wärmepumpe (gebäudeseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/koenigsmoos-kirchfeld,11.2161655,48.666702
Königsmoos,Königsmoos,Bürger-Energie-Genossenschaft Neuburg-Schrobenhausen-Aichach-Eichstätt,"GeoAlto, tewag Gmbh",Neubaugebiet,Wohnen,2022,-,70,Erdwärmesonden,-,-,-,-,-,-,112.0,77.0,-,-,-,Sonden aufgeteilt auf 5 Cluster,-,-,350.0,245,630.0,120,-,-,-,-,dezentral,-,modulare Ergänzung durch PV und Stromspeicher,-,-,-,-,https://www.geoalto.de/de/case-studies/koenigsmoos,11.2161655,48.666702
Kreisparkasse Reutlingen 2.0,Landkreis Reutlingen,Kreissparkasse Reutlingen,"GeoAlto, tewag Gmbh",Neubaugebiet,Gewerbe,2023,-,1,Erdwärmesonden,15.0,15.0,15.0,15.0,15,-,41.0,160.0,-,-,-,-,-,-,420.0,385,670.0,410,-,-,-,-,zentral,-,-,-,-,-,-,https://www.geoalto.de/de/case-studies/kskreutlingen,9.376948824985945,48.4004082
Plusenergiesiedlung Ludmilla-Wohnpark,Landshut,Ludmilla Wohnbau GmbH,"Steinhäuser, Hochschule für angewandte Wissenschaften München",Neubaugebiet ,Wohnen,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wissenschaftliche Untersuchung,-,-,-,-,-,-,-,-,-,-,-,-,Dach-PV,-,-,-,-,https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/plusenergiesiedlung-ludmilla-wohnpark-landshut,12.1516551,48.536217
Mühlenberg 2,Leck (Nordfriesland),Stadtwerke Nordfriesland GmbH,Steinhäuser,Neubaugebiet,Wohnen,2023,-,-,Erdwärmekollektoren,-,-,-,-,-,5000.0,-,-,-,-,-,"Horizontaleinbau, 3 Schächte",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/muehlenberg-ii,8.9725059,54.7739263
An der Kollholmer Au,Loose,Schleswiger Stadtwerke GmbH,-,Neubaugebiet,Wohnen,-,28,-,Erdwärmesonden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,dezentral,-,-,-,-,-,-,https://www.stadtwerke-sh.de/schleswig/produkte/waerme/kalte-nahwaerme/projekt-in-loose,9.8880076,54.5199806
Eulbusch 3,Maikammer,Pfalzwerke AG,-,Neubaugebiet,Wohnen,2022,-,37,Erdwärmesonden,3.0,10.0,3.0,10.0,3 bis 10,-,-,-,-,0.65,Kunststoff / ungedämmt,-,-,-,-,optional,-,optional,-,-,-,-,dezentral,-,-,-,-,Nein,-,https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/maikammer-eulbusch,8.1316291,49.3052161
